epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,958.376,2.08546,0.96964,1.01315,0.91116,0.89171,0.89167,0.33921,2.01461,0.90775,1.01136,0.000371313,0.000371313,0.000371313
43,983.19,2.08474,0.9528,1.00899,0.9016,0.89012,0.89061,0.34013,2.02334,0.91116,1.01424,0.000365125,0.000365125,0.000365125
44,1008.86,2.07279,0.94878,1.00344,0.8876,0.88031,0.88399,0.33595,2.0478,0.90164,1.01606,0.000358938,0.000358938,0.000358938
45,1034.94,2.05915,0.9492,1.0067,0.89791,0.87412,0.89768,0.35054,2.00515,0.89657,1.00376,0.00035275,0.00035275,0.00035275
46,1059.98,2.06225,0.94244,1.00499,0.91444,0.87822,0.89259,0.34405,2.03053,0.89992,1.01349,0.000346563,0.000346563,0.000346563
47,1084.5,2.05753,0.9367,1.00405,0.90193,0.87958,0.89188,0.34439,2.02641,0.89455,1.01043,0.000340375,0.000340375,0.000340375
48,1111.21,2.06276,0.93426,1.00254,0.91488,0.89019,0.89948,0.34065,2.04114,0.90266,1.01516,0.000334188,0.000334188,0.000334188
49,1135.76,2.06097,0.94558,0.99755,0.90154,0.88602,0.89237,0.35773,1.9639,0.87404,1.00216,0.000328,0.000328,0.000328
50,1160.11,2.02533,0.92277,0.99327,0.89966,0.89256,0.89446,0.35721,1.97692,0.87294,0.99983,0.000321812,0.000321812,0.000321812
51,1195.98,2.01839,0.91214,1.00313,0.92046,0.88738,0.9062,0.36494,1.9512,0.86775,0.99712,0.000315625,0.000315625,0.000315625
52,1219.4,2.02498,0.9134,0.99875,0.90087,0.88907,0.89103,0.34681,1.99856,0.87186,1.0057,0.000309437,0.000309437,0.000309437
53,1246.82,2.01833,0.90818,0.98875,0.91361,0.89209,0.90262,0.36669,1.95534,0.85489,0.99662,0.00030325,0.00030325,0.00030325
54,1276.01,2.00838,0.90958,0.99705,0.8851,0.87001,0.87832,0.3427,2.01377,0.88817,1.00831,0.000297063,0.000297063,0.000297063
55,1301.46,1.9996,0.90102,0.986,0.91056,0.88865,0.89866,0.36397,1.94863,0.85733,0.9965,0.000290875,0.000290875,0.000290875
56,1329.84,1.98726,0.89648,0.99165,0.91231,0.89388,0.91841,0.36632,1.95883,0.85952,0.99813,0.000284688,0.000284688,0.000284688
57,1358.73,1.97492,0.8794,0.98695,0.92002,0.88731,0.9085,0.36936,1.93534,0.84448,0.99605,0.0002785,0.0002785,0.0002785
58,1384.69,1.97888,0.88537,0.98299,0.91108,0.88391,0.90801,0.37281,1.92783,0.83343,0.99184,0.000272313,0.000272313,0.000272313
59,1413.1,1.95006,0.87188,0.97857,0.90921,0.88857,0.90268,0.37516,1.9098,0.8192,0.99048,0.000266125,0.000266125,0.000266125
60,1440.42,1.97277,0.87553,0.98314,0.92528,0.89374,0.90948,0.38416,1.90052,0.82172,0.98775,0.000259938,0.000259938,0.000259938
61,1466.91,1.93298,0.85717,0.97954,0.90381,0.89556,0.90441,0.37561,1.88842,0.8213,0.9842,0.00025375,0.00025375,0.00025375
62,1491.07,1.9417,0.86323,0.9753,0.91416,0.90067,0.91769,0.38449,1.88447,0.7994,0.9859,0.000247563,0.000247563,0.000247563
63,1515.57,1.93768,0.85306,0.97965,0.91448,0.90453,0.916,0.39078,1.8735,0.80427,0.98344,0.000241375,0.000241375,0.000241375
64,1538.6,1.90855,0.8398,0.97777,0.92121,0.89479,0.91467,0.39439,1.84117,0.79059,0.97833,0.000235188,0.000235188,0.000235188
65,1563.46,1.91154,0.83619,0.97485,0.91674,0.90058,0.91969,0.40267,1.83553,0.79086,0.97415,0.000229,0.000229,0.000229
66,1587.24,1.90264,0.83206,0.97884,0.92177,0.90734,0.92209,0.39657,1.83454,0.79966,0.97438,0.000222813,0.000222813,0.000222813
67,1612.55,1.89666,0.83066,0.9766,0.91645,0.90159,0.91749,0.3993,1.8409,0.78138,0.97446,0.000216625,0.000216625,0.000216625
68,1639.34,1.86935,0.81885,0.96424,0.91899,0.90378,0.92226,0.39669,1.84849,0.78873,0.97298,0.000210437,0.000210437,0.000210437
