epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,963.662,0.93286,0.57393,0.96545,0.97734,0.98863,0.99278,0.70264,1.01552,0.52201,0.97603,0.000371313,0.000371313,0.000371313
43,987.992,0.93001,0.57335,0.95852,0.98331,0.98899,0.99284,0.71138,0.99406,0.50253,0.98145,0.000365125,0.000365125,0.000365125
44,1011.48,0.93071,0.56737,0.96049,0.98137,0.98509,0.98921,0.71183,1.01891,0.50296,0.98188,0.000358938,0.000358938,0.000358938
45,1034.4,0.92523,0.5578,0.95706,0.98338,0.99123,0.99197,0.70996,1.01591,0.49706,0.97911,0.00035275,0.00035275,0.00035275
46,1058.06,0.92806,0.56345,0.95946,0.97511,0.98845,0.98921,0.70727,1.0036,0.49159,0.97703,0.000346563,0.000346563,0.000346563
47,1082.11,0.92026,0.55069,0.95683,0.98274,0.99197,0.99158,0.70325,1.03297,0.47493,0.99392,0.000340375,0.000340375,0.000340375
48,1107.91,0.90247,0.53897,0.9537,0.98703,0.98507,0.99167,0.70425,1.01159,0.48306,0.99141,0.000334188,0.000334188,0.000334188
49,1131.3,0.89248,0.53069,0.95307,0.98458,0.98438,0.9898,0.7092,1.00774,0.46859,0.99256,0.000328,0.000328,0.000328
50,1155.03,0.89592,0.52831,0.94889,0.98315,0.98126,0.99066,0.7096,0.98851,0.46382,0.98939,0.000321812,0.000321812,0.000321812
51,1178.84,0.88752,0.53077,0.94781,0.9804,0.98461,0.9904,0.70331,1.025,0.46731,0.99724,0.000315625,0.000315625,0.000315625
52,1203.36,0.88564,0.51721,0.95058,0.98833,0.98818,0.9913,0.70765,1.01237,0.45928,0.98431,0.000309437,0.000309437,0.000309437
53,1228.3,0.88719,0.52123,0.94556,0.98242,0.98732,0.99096,0.71311,0.99442,0.44891,0.98107,0.00030325,0.00030325,0.00030325
54,1251.52,0.85961,0.49165,0.94009,0.98849,0.98232,0.98837,0.70448,1.02528,0.46008,0.98574,0.000297063,0.000297063,0.000297063
55,1275.37,0.86072,0.50027,0.94114,0.97159,0.97623,0.98778,0.70941,1.00814,0.46808,0.99438,0.000290875,0.000290875,0.000290875
56,1299.22,0.85809,0.49246,0.93973,0.98571,0.99169,0.99377,0.71106,1.01697,0.44466,0.98838,0.000284688,0.000284688,0.000284688
57,1322.28,0.8525,0.49947,0.9391,0.98481,0.98394,0.99262,0.71721,1.00809,0.45735,0.98067,0.0002785,0.0002785,0.0002785
58,1344.09,0.84995,0.48687,0.93231,0.98357,0.98377,0.99167,0.72417,0.99832,0.44545,0.98385,0.000272313,0.000272313,0.000272313
59,1363.95,0.84534,0.48138,0.93693,0.97823,0.98954,0.99051,0.71961,0.99744,0.43824,0.98228,0.000266125,0.000266125,0.000266125
60,1384.39,0.83771,0.48229,0.93555,0.98807,0.98318,0.99217,0.72579,0.99245,0.43639,0.98471,0.000259938,0.000259938,0.000259938
61,1405.51,0.8116,0.46524,0.92992,0.98297,0.98396,0.99272,0.71309,1.00533,0.42685,0.99672,0.00025375,0.00025375,0.00025375
62,1426.19,0.821,0.46848,0.93014,0.98463,0.98012,0.98734,0.7106,1.0063,0.43956,0.99962,0.000247563,0.000247563,0.000247563
63,1446.64,0.80543,0.45866,0.92964,0.98301,0.98848,0.99186,0.72677,0.97431,0.42465,0.98197,0.000241375,0.000241375,0.000241375
64,1466.82,0.80517,0.46169,0.92942,0.98594,0.9838,0.98862,0.72216,0.99937,0.42216,0.99782,0.000235188,0.000235188,0.000235188
65,1487.78,0.79262,0.4492,0.92398,0.98612,0.99045,0.99061,0.72092,0.98182,0.41533,0.98544,0.000229,0.000229,0.000229
66,1508.08,0.7928,0.44693,0.92509,0.98369,0.9883,0.99156,0.72477,0.98425,0.41196,0.9888,0.000222813,0.000222813,0.000222813
67,1528.72,0.78054,0.44512,0.92181,0.98393,0.98435,0.99154,0.72709,0.98365,0.40577,0.99084,0.000216625,0.000216625,0.000216625
68,1550.6,0.78253,0.44443,0.91875,0.98345,0.98831,0.99272,0.71721,1.01242,0.41504,1.00691,0.000210437,0.000210437,0.000210437
69,1571.72,0.77264,0.43669,0.9202,0.98707,0.98204,0.98928,0.73519,0.96828,0.39808,0.9871,0.00020425,0.00020425,0.00020425
70,1593.15,0.77031,0.43487,0.91952,0.98431,0.98397,0.99097,0.73143,0.9814,0.3974,0.99017,0.000198063,0.000198063,0.000198063
71,1617.21,0.77139,0.44005,0.92195,0.98649,0.98359,0.99107,0.73565,0.96766,0.39329,0.98441,0.000191875,0.000191875,0.000191875
72,1645,0.75565,0.43405,0.91492,0.98317,0.98905,0.99004,0.739,0.95589,0.39071,0.98504,0.000185688,0.000185688,0.000185688
73,1669.82,0.75351,0.42733,0.91586,0.9875,0.98978,0.99112,0.74075,0.94797,0.39067,0.985,0.0001795,0.0001795,0.0001795
74,1694.73,0.73944,0.41984,0.91065,0.98433,0.98666,0.99154,0.73132,0.95555,0.38974,0.98725,0.000173313,0.000173313,0.000173313
75,1719.23,0.73256,0.41419,0.9079,0.98762,0.99044,0.99242,0.73331,0.96514,0.38742,0.98904,0.000167125,0.000167125,0.000167125
76,1743.75,0.72323,0.41367,0.90613,0.98708,0.98736,0.99302,0.73925,0.9506,0.382,0.99126,0.000160938,0.000160938,0.000160938
77,1770.84,0.73939,0.41934,0.90893,0.98606,0.98888,0.99201,0.73897,0.95856,0.38482,0.98537,0.00015475,0.00015475,0.00015475
78,1796.7,0.73097,0.41335,0.90885,0.98852,0.98546,0.99244,0.74514,0.94141,0.38813,0.99107,0.000148563,0.000148563,0.000148563
79,1820.94,0.70666,0.40788,0.90433,0.98839,0.98765,0.99129,0.73941,0.93944,0.37854,0.98213,0.000142375,0.000142375,0.000142375
80,1846.9,0.70813,0.40004,0.89764,0.99003,0.98905,0.99194,0.74167,0.92996,0.3773,0.98158,0.000136187,0.000136187,0.000136187
81,1874.31,0.70903,0.40248,0.90502,0.98406,0.98767,0.99015,0.74217,0.93781,0.38402,0.98634,0.00013,0.00013,0.00013
82,1902.92,0.69035,0.3964,0.9011,0.98419,0.9876,0.99204,0.74022,0.94867,0.3868,0.99597,0.000123812,0.000123812,0.000123812
83,1930.36,0.70527,0.3995,0.90307,0.99139,0.98944,0.99092,0.74828,0.92407,0.37318,0.98348,0.000117625,0.000117625,0.000117625
84,1953.96,0.68829,0.39434,0.89541,0.9883,0.98716,0.98991,0.73698,0.93629,0.38261,0.98239,0.000111438,0.000111438,0.000111438
85,1973.44,0.69836,0.39559,0.90186,0.98734,0.98715,0.9898,0.73582,0.93647,0.37218,0.98961,0.00010525,0.00010525,0.00010525
86,1993.32,0.68427,0.38823,0.89427,0.98799,0.98733,0.99002,0.7422,0.92656,0.3826,0.98361,9.90625e-05,9.90625e-05,9.90625e-05
87,2013.64,0.66318,0.38091,0.89476,0.98627,0.98782,0.99029,0.74407,0.91412,0.37981,0.98288,9.2875e-05,9.2875e-05,9.2875e-05
88,2033.88,0.66527,0.38013,0.89441,0.98715,0.9881,0.98905,0.74615,0.91905,0.37849,0.98434,8.66875e-05,8.66875e-05,8.66875e-05
89,2055.25,0.65886,0.38094,0.89114,0.98653,0.98683,0.98899,0.74177,0.93052,0.3863,0.99093,8.05e-05,8.05e-05,8.05e-05
90,2075.7,0.66198,0.38023,0.89529,0.98851,0.98837,0.98953,0.74336,0.91441,0.36926,0.98936,7.43125e-05,7.43125e-05,7.43125e-05
91,2130.95,0.55243,0.30711,0.85902,0.98853,0.98871,0.98933,0.73876,0.9175,0.36941,0.99237,6.8125e-05,6.8125e-05,6.8125e-05
92,2153.09,0.53826,0.30054,0.86087,0.98577,0.98602,0.98786,0.73497,0.92341,0.37372,0.99627,6.19375e-05,6.19375e-05,6.19375e-05
93,2175.49,0.52912,0.29765,0.85371,0.98883,0.98789,0.98852,0.7371,0.91352,0.37504,0.99854,5.575e-05,5.575e-05,5.575e-05
94,2197.47,0.51498,0.29143,0.84965,0.98842,0.98714,0.98964,0.73679,0.9132,0.3755,0.99895,4.95625e-05,4.95625e-05,4.95625e-05
95,2220.52,0.51062,0.29264,0.84394,0.98819,0.98927,0.98883,0.73913,0.90995,0.36585,1.00583,4.3375e-05,4.3375e-05,4.3375e-05
96,2243.27,0.50133,0.28778,0.84507,0.9889,0.98882,0.98953,0.74006,0.90516,0.36256,1.00584,3.71875e-05,3.71875e-05,3.71875e-05
97,2265.6,0.49129,0.28303,0.84462,0.98841,0.9884,0.98908,0.7407,0.90846,0.36545,1.00477,3.1e-05,3.1e-05,3.1e-05
98,2288.39,0.47973,0.27844,0.84174,0.98798,0.98917,0.98857,0.74324,0.90263,0.36466,1.00118,2.48125e-05,2.48125e-05,2.48125e-05
99,2312.58,0.47539,0.27626,0.8398,0.98881,0.98746,0.9884,0.74302,0.90131,0.3645,1.00189,1.8625e-05,1.8625e-05,1.8625e-05
100,2334.57,0.47798,0.27736,0.84041,0.98917,0.98863,0.98882,0.7434,0.89708,0.36137,1.00099,1.24375e-05,1.24375e-05,1.24375e-05
