File,Background,Coverage (%),MAE (px),Hausdorff Distance,ASSD,IoU,Dice
aVF.png,dark,1.776154,0.024874,109.123783,16.457723,0.113887,0.204486
aVL.png,dark,1.495708,0.017912,62.361847,8.840812,0.176991,0.300752
aVR.png,dark,1.694915,0.020488,113.0,17.371774,0.150103,0.261025
I.png,dark,1.456741,0.016528,160.90059,10.294665,0.232905,0.377815
II.png,dark,2.380611,0.028151,66.098411,8.865332,0.181935,0.307859
III.png,dark,1.629563,0.022555,104.479663,14.042548,0.158072,0.272992
V1.png,dark,1.144803,0.012594,97.718985,9.350246,0.238448,0.385075
V2.png,dark,2.33064,0.025181,162.049375,6.294858,0.237082,0.383292
V3.png,dark,2.13238,0.02191,101.833197,5.119541,0.296672,0.45759
V4.png,dark,2.556169,0.02701,79.0,4.271439,0.283586,0.441865
V5.png,dark,2.046382,0.020584,129.003876,2.517063,0.356693,0.525827
V6.png,dark,1.669369,0.016507,35.0,1.05822,0.392185,0.56341
